[GIN-debug] [WARNING] Creating an Engine instance with the Logger and Recovery middleware already attached.

[GIN-debug] [WARNING] Running in "debug" mode. Switch to "release" mode in production.
 - using env:	export GIN_MODE=release
 - using code:	gin.SetMode(gin.ReleaseMode)

[GIN-debug] GET    /healthz                  --> seckill/internal/proxy/controller.(*Handler).Healthz-fm (3 handlers)
[GIN-debug] POST   /api/seckill              --> seckill/internal/proxy/controller.(*Handler).Seckill-fm (3 handlers)
[GIN-debug] GET    /api/orders               --> seckill/internal/proxy/controller.(*Handler).OrdersByUser-fm (3 handlers)
2026/03/27 09:04:14 proxy listening on :8080
[GIN-debug] [WARNING] You trusted all proxies, this is NOT safe. We recommend you to set a value.
Please check https://github.com/gin-gonic/gin/blob/master/docs/doc.md#dont-trust-all-proxies for details.
[GIN-debug] Listening and serving HTTP on :8080
[GIN] 2026/03/27 - 09:04:14 | 200 |  21.26µs |       127.0.0.1 | GET      "/healthz"
[GIN] 2026/03/27 - 09:04:23 | 200 |   1.67ms |       127.0.0.1 | POST     "/api/seckill"
[GIN] 2026/03/27 - 09:04:38 | 401 | 60.755µs |       127.0.0.1 | POST     "/api/seckill"
[GIN] 2026/03/27 - 09:04:38 | 401 | 178.096µs |       127.0.0.1 | POST     "/api/seckill"
[GIN] 2026/03/27 - 09:04:38 | 401 | 72.657µs |       127.0.0.1 | POST     "/api/seckill"
[GIN] 2026/03/27 - 09:04:38 | 401 | 88.988µs |       127.0.0.1 | POST     "/api/seckill"
[GIN] 2026/03/27 - 09:04:38 | 401 | 60.344µs |       127.0.0.1 | POST     "/api/seckill"
[GIN] 2026/03/27 - 09:04:38 | 401 | 48.842µs |       127.0.0.1 | POST     "/api/seckill"
[GIN] 2026/03/27 - 09:04:38 | 401 | 21.881µs |       127.0.0.1 | POST     "/api/seckill"
[GIN] 2026/03/27 - 09:04:38 | 401 | 57.459µs |       127.0.0.1 | POST     "/api/seckill"
[GIN] 2026/03/27 - 09:04:38 | 401 | 36.499µs |       127.0.0.1 | POST     "/api/seckill"
[GIN] 2026/03/27 - 09:04:38 | 401 | 58.961µs |       127.0.0.1 | POST     "/api/seckill"
[GIN] 2026/03/27 - 09:04:38 | 401 | 44.915µs |       127.0.0.1 | POST     "/api/seckill"
[GIN] 2026/03/27 - 09:04:38 | 401 | 45.847µs |       127.0.0.1 | POST     "/api/seckill"
[GIN] 2026/03/27 - 09:04:38 | 401 | 36.639µs |       127.0.0.1 | POST     "/api/seckill"
[GIN] 2026/03/27 - 09:04:38 | 401 |  31.74µs |       127.0.0.1 | POST     "/api/seckill"
[GIN] 2026/03/27 - 09:04:38 | 401 | 29.716µs |       127.0.0.1 | POST     "/api/seckill"
[GIN] 2026/03/27 - 09:04:38 | 401 | 35.176µs |       127.0.0.1 | POST     "/api/seckill"
[GIN] 2026/03/27 - 09:04:38 | 401 | 28.684µs |       127.0.0.1 | POST     "/api/seckill"
[GIN] 2026/03/27 - 09:04:38 | 401 | 36.399µs |       127.0.0.1 | POST     "/api/seckill"
[GIN] 2026/03/27 - 09:04:38 | 401 | 62.227µs |       127.0.0.1 | POST     "/api/seckill"
[GIN] 2026/03/27 - 09:04:38 | 401 | 18.656µs |       127.0.0.1 | POST     "/api/seckill"
[GIN] 2026/03/27 - 09:04:38 | 401 | 19.307µs |       127.0.0.1 | POST     "/api/seckill"
[GIN] 2026/03/27 - 09:11:00 | 200 |   1.16ms |       127.0.0.1 | POST     "/api/seckill"
[GIN] 2026/03/27 - 09:11:00 | 200 | 427.747µs |       127.0.0.1 | POST     "/api/seckill"
[GIN] 2026/03/27 - 09:11:00 | 200 |   1.76ms |       127.0.0.1 | POST     "/api/seckill"
[GIN] 2026/03/27 - 09:11:00 | 200 |   2.49ms |       127.0.0.1 | POST     "/api/seckill"
[GIN] 2026/03/27 - 09:11:00 | 200 |    2.3ms |       127.0.0.1 | POST     "/api/seckill"
[GIN] 2026/03/27 - 09:11:00 | 200 |   3.06ms |       127.0.0.1 | POST     "/api/seckill"
[GIN] 2026/03/27 - 09:11:00 | 200 |   3.31ms |       127.0.0.1 | POST     "/api/seckill"
[GIN] 2026/03/27 - 09:11:00 | 200 | 409.192µs |       127.0.0.1 | POST     "/api/seckill"
[GIN] 2026/03/27 - 09:11:00 | 200 |   2.91ms |       127.0.0.1 | POST     "/api/seckill"
[GIN] 2026/03/27 - 09:11:00 | 200 |   3.33ms |       127.0.0.1 | POST     "/api/seckill"
[GIN] 2026/03/27 - 09:11:00 | 200 |   4.32ms |       127.0.0.1 | POST     "/api/seckill"
[GIN] 2026/03/27 - 09:11:00 | 200 |   1.02ms |       127.0.0.1 | POST     "/api/seckill"
[GIN] 2026/03/27 - 09:11:00 | 200 |   1.11ms |       127.0.0.1 | POST     "/api/seckill"
[GIN] 2026/03/27 - 09:11:00 | 200 |   1.12ms |       127.0.0.1 | POST     "/api/seckill"
[GIN] 2026/03/27 - 09:11:00 | 200 |   1.69ms |       127.0.0.1 | POST     "/api/seckill"
